"Advisory","Advisory, Legal Source"
"Adult Day Health Care Planning Council","Administrative Code Sec. 44.1"
"Advisory Council on Human Rights","Administrative Code Sec. 12A.6"
"Ballot Simplification Committee","Municipal Elections Code Sec. 610"
"Behavioral Health Commission","Administrative Code Sec. 15.12"
"Bayview Hunters Point Citizens Advisory Committee","Administrative Code Sec. 5.70"
"Bicycle Advisory Committee","Administrative Code Sec. 5.130"
"Cannabis Oversight Committee","Administrative Code Sec. 5.38-1"
"Capital Planning Committee","Administrative Code Sec. 3.21"
"Child Care Planning and Advisory Council","Administrative Code Sec. 5.200"
"Citizens Advisory Committee for Street Utility Construction","Administrative Code Sec. 5.66"
"City Hall Preservation Advisory Committee","Administrative Code Sec. 5.240"
"Close Juvenile Hall Working Group","Administrative Code Sec. 5.40-1"
"Code Advisory Committee","Building Code Sec. 105A.4"
"Commission on Aging Advisory Council","Administrative Code Sec. 5.54"
"Commission of Animal Control and Welfare","Health Code Sec. 41.2"
"Committee on City Workforce Alignment","Administrative Code Sec. 30.5"
"Committee on Information Technology","Administrative Code Sec. 22A.3"
"Committee for Planning Utility Construction Program","Administrative Code Sec. 5.63"
"Committee for Utility Liaison on Construction and Other Projects","Administrative Code Sec. 5.63"
"Community Corrections Partnership","Cal. Penal Code Sec. 1228-1233.8"
"Dignity Fund Oversight and Advisory Committee","Charter Sec. 16.128-11; Administrative Code Sec. 5.34-1"
"Disaster Council","Administrative Code Sec. 7.4"
"Eastern Neighborhoods Community Advisory Committee","Administrative Code Sec. 5.32-1"
"Early Childhood Community Oversight and Advisory Committee","Administrative Code Sec. 5.13-1"
"Family Violence Council","Administrative Code Sec. 5.19-1"
"Food Security Task Force","Administrative Code Sec. 5.10-1"
"Free City College Oversight Committee","Administrative Code Sec. 5.2-1"
"Graffiti Advisory Board","Administrative Code Sec. 5.18-1"
"Housing Conservatorship Working Group","Administrative Code Sec. 5.37-1"
"Housing Stability Fund Oversight Board","Administrative Code Sec. 5.45-1"
"Inclusionary Housing Technical Advisory Committee","Administrative Code Sec. 5.29-1"
"Industrial Development Authority Board","Administrative Code Sec. 42.1"
"In-Home Supportive Services Public Authority","Administrative Code Sec. 70.2"
"Juvenile Justice Coordinating Council","Cal. Welfare and Institutions Code Sec. 749.2-749.27"
"Local Homeless Coordinating Board","Administrative Code Sec. 5.31-1"
"Market and Octavia Community Advisory Committee","Planning Code Sec. 341.5; Board of Supervisors Res. No. 474-08"
"Mental Health SF Implementation Working Group","Administrative Code Sec. 5.44-1"
"Mission Bay Transportation Improvement Fund Advisory Committee","Administrative Code Sec. 5.23-1"
"Municipal Green Building Task Force","Environment Code Sec. 702"
"Municipal Transportation Agency Citizens' Advisory Council","Charter Sec. 8A.111"
"Our City, Our Home Oversight Committee","Administrative Code Sec. 5.41-1; Business and Tax Regulations Code Sec. 2810"
"Park, Recreation, And Open Space Advisory Committee","Charter Sec. 16.107; Park Code Sec. 13.01"
"Pedestrian Safety Advisory Committee","Administrative Code Sec. 5.4-1"
"Permit Prioritization Task Force","Campaign & Governmental Conduct Code Sec. 3.400"
"Public Utilities Citizen's Advisory Committee","Administrative Code Sec. 5.140"
"Real Estate Fraud Prosecution Trust Fund Committee","Administrative Code Sec. 8.24-5"
"Reentry Council","Administrative Code Sec. 5.1-1"
"Relocation Appeals Board","Administrative Code Sec. 24.7"
"Residential Rehabilitation Area Rent Committees","Administrative Code Sec. 32.34"
"Residential Rehabilitation Area Citizen Advisory Committees","Administrative Code Sec. 32.30, 32.30-1"
"Service Provider Working Group","Administrative Code Sec. 2A.234"
"Sentencing Commission","Administrative Code Sec. 5.250"
"Shelter Monitoring Committee","Administrative Code Sec. 20.305"
"Shelter Grievance Advisory Committee","Administrative Code Sec. 5.36-1"
"Single Room Occupancy (SRO) Task Force","Administrative Code Sec. 5.28-1"
"South of Market Community Planning Advisory Committee","Administrative Code Sec. 5.26-1"
"State Legislation Committee","Administrative Code Section 5.5"
"Street Artists and Craftsmen Examiners Advisory Committee","Police Code Sec. 2400"
"Street Utilities Coordinating Committee","Administrative Code Sec. 5.60"
"Structural Advisory Committee","Building Code Sec. 105A.6"
"Sugary Drinks Distributor Tax Advisory Committee","Administrative Code Sec. 5.33-1"
"Supportive Housing Services Fund Committee","Administrative Code Sec. 10.100-131(f)"
"Sweatfree Procurement Advisory Group","Administrative Code Sec. 12U.6"
"Treasure Island/Yerba Buena Island Citizens Advisory Board","Board of Supervisors Res. No. 89-99"
"Treasury Oversight Committee","Administrative Code Sec.5.9-1"
"Urban Forestry Council","Environment Code Sec. 1200"
"Veterans' Affairs Commission","Administrative Code Sec. 5.100"
"Workforce Development Advisory Committee","Administrative Code Sec. 83.8"
"Youth Commission","Charter Sec. 4.122, 4.123"
