Elected,"Elected, Legal Source",Commissions,"Commissions, Legal Source",Department Heads,Departments,"Departments, Legal Source",Advisory,"Advisory, Legal Source"
Mayor,Charter Art. III,Abatement Appeals Board,Building Code Sec. 105A.2,Airport Director,Airport,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Adult Day Health Care Planning Council,Administrative Code Sec. 44.1
Board of Supervisors,Charter Art. II,Access Appeals Commission,Building Code Sec. 105A.3,"Asian Art Museum, Director",Asian Art Museum,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Advisory Council on Human Rights,Administrative Code Sec. 12A.6
Treasurer,Charter Sec. 6.106,Airport Commission,Charter Sec. 4.115,"Arts Commission, Director of Cultural Affairs",Arts Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Ballot Simplification Committee,Municipal Elections Code Sec. 610
Assessor-Recorder,Charter Sec. 6.101,Arts Commission,Charter Sec. 5.103,Assessor-Recorder,Office of the Assessor-Recorder,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Behavioral Health Commission,Administrative Code Sec. 15.12
City Attorney,Charter Sec. 6.102,Asian Art Commission,"Charter Sec. 5.102, 5.104","Board of Appeals, Executive Director",Board of Appeals,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Bayview Hunters Point Citizens Advisory Committee,Administrative Code Sec. 5.70
District Attorney,Charter Sec. 6.103,Assessment Appeals Board #1,Administrative Code Sec. 2B.1,"Board of Supervisors, Clerk",Office of the Clerk of the Board of Supervisors,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Bicycle Advisory Committee,Administrative Code Sec. 5.130
Public Defender,Charter Sec. 6.104,Assessment Appeals Board #2,Administrative Code Sec. 2B.1,"Building Inspection, Director",Department of Building Inspection,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Cannabis Oversight Committee,Administrative Code Sec. 5.38-1
Sheriff,Charter Sec. 6.105,Assessment Appeals Board #3,Administrative Code Sec. 2B.1,"Child Support Services, Director",Child Support Services,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Capital Planning Committee,Administrative Code Sec. 3.21
Board of Education,Charter Sec. 8.100,Board of Appeals,Charter Sec. 4.106,"Children, Youth and Their Families, Executive Director","Department of Children, Youth and Their Families",Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Child Care Planning and Advisory Council,Administrative Code Sec. 5.200
City College of SF Board of Trustees,Charter Sec. 8.101,Board of Examiners,Building Code Sec. 105A.1,City Administrator,Office of the City Administrator,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),"Children, Youth and Their Families Oversight and Advisory Committee",Charter Sec. 16.108-1; Administrative Code Sec. 2A.233
Superior Court Judges*,"CA Constitution, Art. VI, Sec. 16",Building Inspection Commission,Charter Sec. 4.121,City Attorney,Office of the City Attorney,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Citizens Advisory Committee for Street Utility Construction,Administrative Code Sec. 5.66
,,Children and Families First Commission,Administrative Code Sec. 86.1,City Librarian,Public Library,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Citizen's Committee on Community Development,Administrative Code Sec. 2A.290
,,Citizens' General Obligation Bond Oversight Committee,Administrative Code Sec.5.30,"Civil Service Commission, Executive Officer",Civil Service Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),City Hall Preservation Advisory Commission,Administrative Code Sec. 5.240
,,Civil Service Commission,"Charter Sec. 10.100, 10.101","Commission on the Status of Women, Executive Director",Department on the Status of Women,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Close Juvenile Hall Working Group,Administrative Code Sec. 5.40-1
,,Commission on the Environment,Charter Sec. 4.118,Controller,Controller's Office,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Code Advisory Committee,Building Code Sec. 105A.4
,,Commission on the Status of Women,Charter Sec. 4.119,"Department of Disability and Aging Services, Executive Director",Department of Disability and Aging Services,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Commission on Aging Advisory Council,Administrative Code Sec. 5.6-4
,,Committee on Information Technology,Administrative Code Sec. 22A.3,"Department of Early Childhood, Executive Director",Department of Early Childhood,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Commission of Animal Control and Welfare,Health Code Sec. 41.2
,,Disability and Aging Services Commission,Charter Sec. 4.120,"Department of Police Accountability, Director",Department of Police Accountability,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Committee on City Workforce Alignment,Administrative Code Sec. 30.5
,,Elections Commission,Charter Sec. 13.103.5,District Attorney,District Attorney's Office,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Committee for Planning Utility Construction Program,Administrative Code Sec. 5.63
,,Elections Task Force,Charter Sec. 13.110,"Economic Workforce and Development, Executive Director",Office of Economic and Workforce Development,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Committee for Utility Liaison on Construction and Other Projects,Administrative Code Sec. 5.63
,,Entertainment Commission,Charter Sec. 4.117,"Elections, Director",Department of Elections,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Community Corrections Partnership,Cal. Penal Code Sec. 1228-1233.8
,,Ethics Commission,Charter Sec. 15.100,"Emergency Management, Executive Director",Department of Emergency Management,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Dignity Fund Oversight and Advisory Committee,Charter Sec. 16.128-11; Administrative Code Sec. 5.34-1
