Elected	Boards and Commission	Legal  Source	Department Heads	Departments	Legal Source	Advisory	Legal Source
Mayor	Abatement Appeals Board	Building Code § 105A.2	Airport Director	Airport	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Adult Day Health Care Planning Council	Administrative Code § 44.1
Board of Supervisors	Access Appeals Commission	Building Code § 105A.3	"Asian Art Museum, Director"	Asian Art Museum	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Advisory Council on Human Rights	Administrative Code § 12A.6
Treasurer	Airport Commission	Charter § 4.115	"Arts Commission, Director of Cultural Affairs"	Arts Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Ballot Simplification Committee	Municipal Elections Code § 610
Assessor-Recorder	Arts Commission	Charter § 5.103	Assessor-Recorder	Office of the Assessor-Recorder	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Behavioral Health Commission	Administrative Code § 15.12
City Attorney	Asian Art Commission	"Charter §§ 5.102, 5.104"	"Board of Appeals, Executive Director"	Board of Appeals	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Bayview Hunters Point Citizens Advisory Committee	Administrative Code § 5.70
District Attorney	Assessment Appeals Board	Administrative Code § 2B.1	"Board of Supervisors, Clerk"	Office of the Clerk of the Board of Supervisors	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Bicycle Advisory Committee	Administrative Code § 5.130
Public Defender	Board of Appeals	Charter § 4.106	"Building Inspection, Director"	Department of Building Inspection	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Cannabis Oversight Committee	Administrative Code § 5.38-1
Sheriff	Board of Examiners	Building Code § 105A.1	"Child Support Services, Director"	Child Support Services	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Capital Planning Committee	Administrative Code § 3.21
Board of Education	Board of Supervisors	"Charter, Art. II"	"Children, Youth and Their Families, Executive Director"	"Department of Children, Youth and Their Families"	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Child Care Planning and Advisory Council	Administrative Code § 5.200
City College of SF Board of Trustees	Building Inspection Commission	Charter § 4.121	City Administrator	Office of the City Administrator	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Citizens Advisory Committee for Street Utility Construction	Administrative Code § 5.66
Superior Court Judges*	"Children, Youth and Their Families Oversight and Advisory Committee"	Charter §16.108-1; Administrative Code § 2A.233	City Attorney	Office of the City Attorney	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	City Hall Preservation Advisory Committee	Administrative Code § 5.240
	Children and Families First Commission	Administrative Code § 86.1	City Librarian	Public Library	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Close Juvenile Hall Working Group	Administrative Code § 5.40-1
	Citizen's Committee on Community Development	Administrative Code § 2A.290	"Civil Service Commission, Executive Officer"	Civil Service Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Code Advisory Committee	Building Code § 105A.4
	Citizens' General Obligation Bond Oversight Committee	Administrative Code §5.30	"Commission on the Status of Women, Executive Director"	Department on the Status of Women	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Commission on Aging Advisory Council	Administrative Code § 5.54
	Civil Service Commission	"Charter §§ 10.100, 10.101"	Controller	Controller's Office	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Commission of Animal Control and Welfare	Health Code § 41.2
	Commission on the Environment	Charter § 4.118	"Department of Disability and Aging Services, Executive Director"	Department of Disability and Aging Services	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Committee on City Workforce Alignment	Administrative Code § 30.5
	Commission on the Status of Women	Charter § 4.119	"Department of Early Childhood, Executive Director"	Department of Early Childhood	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Committee on Information Technology	Administrative Code § 22A.3
	Disability and Aging Services Commission	Charter § 4.120	"Department of Police Accountability, Director"	Department of Police Accountability	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Committee for Planning Utility Construction Program	Administrative Code § 5.63
	Elections Commission	Charter § 13.103.5	District Attorney	District Attorney's Office	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Committee for Utility Liaison on Construction and Other Projects	Administrative Code § 5.63
	Elections Task Force	Charter § 13.110	"Economic Workforce and Development, Executive Director"	Office of Economic and Workforce Development	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Community Corrections Partnership	Cal. Penal Code §§ 1228-1233.8
	Entertainment Commission	Charter § 4.117	"Elections, Director"	Department of Elections	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Dignity Fund Oversight and Advisory Committee	Charter § 16.128-11; Administrative Code § 5.34-1
	Ethics Commission	Charter § 15.100	"Emergency Management, Executive Director"	Department of Emergency Management	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Disaster Council	Administrative Code § 7.4
	Film Commission	Administrative Code § 57.2	"Entertainment Commission, Executive Director"	Entertainment Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Eastern Neighborhoods Community Advisory Committee	Administrative Code § 5.32-1
