Name,Purpose,Appointed By,City Affiliation,Decision / Advisory,Charter Commission,Authorization,Start Date,Sunset Date,Required Mtgs /Yr,Members
Commission of Animal Control and Welfare,Holds hearings and makes recommendations to the city on animal-related issues.,"BoS, city depts",San Francisco Animal Care and Control (SFACC),A,N,Health Code § 41.1,1973,None,11,11
Abatement Appeals Board,"Hears appeals against orders of abatement, which are issued when a building code violation is not fixed. Members belong to the Building Inspection Commission.","Mayor, BoS",Department of Building Inspection (DBI),D,N,Building Code § 105A.2,1932,None,12,6
Access Appeals Commission,Conducts hearings on DBI's interpretations of disability access regulations and enforcement.,City depts,Department of Building Inspection (DBI),D,N,Building Code § 105A.3,1973,None,24,5
Assessment Appeals Board # 1,"Hears tax assessment appeals regardless of value, type, or location.",BoS,"BoS, Office of the Assessor",D,N,Admin Code § 2B.1,1967,None,n/a,8
Assessment Appeals Board # 2,One of two boards that hear tax assessment appeals on all residential property of four units or less and property assessed at less than $50 million.,BoS,"BoS, Office of the Assessor",D,N,Admin Code § 2B.1,1967,None,n/a,8
Assessment Appeals Board # 3,One of two boards that hear tax assessment appeals on all residential property of four units or less and property assessed at less than $50 million.,BoS,"BoS, Office of the Assessor",D,N,Admin Code § 2B.1,1967,None,n/a,8
Board of Appeals,"Hears and decides appeals of decisions made by various city departments, commissions, and officers in regard to permits, licenses, and other use entitlements.","Mayor**, BoS**","San Francisco Planning Department, multiple other agencies",D,Y,Charter § 4.106,1932,None,28,5
Relocation Appeals Board,Hears appeals from residents whose homes or businesses are displaced by city building projects and who are dissatisfied with the terms of a relocation package.,Mayor,Mayor's Office of Housing and Community Development (MOHCD),D,N,Admin Code § 24.7,1972,None,n/a,5
Advisory Committee of Street Artists and Craftsmen Examiners,"Advises the Arts Commission on the certification of artists to sell their work in designated spaces, including street vending locations throughout San Francisco.",Mayor,San Francisco Arts Commission,A,N,Police Code §§ 2400–2402,1975,None,4,5
Arts Commission,"Approves designs for all public structures and public works of art, maintains works of art owned by the city, and controls arts expenditures made by the Board of Supervisors.","Mayor*, BoS",Arts Commission,D,Y,"Charter § 5.103, § 16.106",1932,None,12,15
Asian Art Commission,Determines policy for and oversees the administration of the Asian Art Museum of San Francisco.,Mayor,Asian Art Museum,D,Y,Charter § 5.104,2011,None,10,27
City Hall Preservation Advisory Commission,"Advises the Mayor, Board of Supervisors, Planning Commission, and others on maintenance, operation, and preservation of City Hall.",Mayor****,City Administrator,A,N,Admin Code §§ 5.240– 5.244,2004,None,12,5
Entertainment Commission,"Oversees the planning, permitting, and regulation of events and venues in San Francisco.","Mayor**, BoS",City Administrator,D,Y,"Charter § 4.117, Admin § 90.3",2002,None,24,7
