Name,Purpose,Appointed By,City Affiliation,Decision / Advisory,Charter Commission,Authorization,Start Date,Sunset Date,Required Mtgs /Yr,Members
Abatement Appeals Board,"Hears appeals against orders of abatement, which are issued when a building code violation is not fixed. Members belong to the Building Inspection Commission.","Mayor, BoS",Department of Building Inspection (DBI),D,N,Building Code § 105A.2,1932,None,12,6
Access Appeals Commission,Conducts hearings on DBI's interpretations of disability access regulations and enforcement.,City depts,Department of Building Inspection (DBI),D,N,Building Code § 105A.3,1973,None,24,5
Assessment Appeals Board # 1,"Hears tax assessment appeals regardless of value, type, or location.",BoS,"BoS, Office of the Assessor",D,N,Admin Code § 2B.1,1967,None,n/a,8
Assessment Appeals Board # 2,One of two boards that hear tax assessment appeals on all residential property of four units or less and property assessed at less than $50 million.,BoS,"BoS, Office of the Assessor",D,N,Admin Code § 2B.1,1967,None,n/a,8
Assessment Appeals Board # 3,One of two boards that hear tax assessment appeals on all residential property of four units or less and property assessed at less than $50 million.,BoS,"BoS, Office of the Assessor",D,N,Admin Code § 2B.1,1967,None,n/a,8
Board of Appeals,"Hears and decides appeals of decisions made by various city departments, commissions, and officers in regard to permits, licenses, and other use entitlements.","Mayor**, BoS**","San Francisco Planning Department, multiple other agencies",D,Y,Charter § 4.106,1932,None,28,5
Relocation Appeals Board,Hears appeals from residents whose homes or businesses are displaced by city building projects and who are dissatisfied with the terms of a relocation package.,Mayor,Mayor's Office of Housing and Community Development (MOHCD),D,N,Admin Code § 24.7,1972,None,n/a,5
Arts Commission,"Approves designs for all public structures and public works of art, maintains works of art owned by the city, and controls arts expenditures made by the Board of Supervisors.","Mayor*, BoS",Arts Commission,D,Y,"Charter § 5.103, § 16.106",1932,None,12,15
Asian Art Commission,Determines policy for and oversees the administration of the Asian Art Museum of San Francisco.,Mayor,Asian Art Museum,D,Y,Charter § 5.104,2011,None,10,27
Entertainment Commission,"Oversees the planning, permitting, and regulation of events and venues in San Francisco.","Mayor**, BoS",City Administrator,D,Y,"Charter § 4.117, Admin § 90.3",2002,None,24,7
Film Commission,Develops and promotes opportunities for filmmaking and related activities in San Francisco.,Mayor*,Office of Economic and Workforce Development (OEWD),D,N,Admin Code § 57,1988,None,12,11
Fine Arts Museums of San Francisco Board of Trustees,Oversees the de Young Museum and the Palace of the Legion of Honor.,Self-appointing,Fine Arts Museums of San Francisco,D,Y,Charter § 5.105,1972,None,4,6
Historic Preservation Commission,"Advises the city on historic preservation matters, including the approval, disapproval, or modification of landmark designations and historic district designations.",Mayor**,San Francisco Planning Department,D,Y,Charter § 4.135,2008,None,24,7
Library Commission,Sets policy and oversees the library budget for the San Francisco Public Library system.,Mayor*,San Francisco Public Library (SFPL),D,Y,Charter § 8.102,1923,None,12,7
